Date,Affected pages
2026-05-28,124
2026-05-29,130
2026-05-30,130
2026-05-31,130
2026-06-01,131
2026-06-02,131
2026-06-03,131
2026-06-04,131
2026-06-05,131
2026-06-06,131
2026-06-07,131
2026-06-08,132
2026-06-09,132
2026-06-10,132
2026-06-11,132
2026-06-12,138
2026-06-13,138
2026-06-14,138
2026-06-15,138
2026-06-16,138
2026-06-17,138
2026-06-18,138
2026-06-19,138
2026-06-20,138
2026-06-21,138
2026-06-22,138
2026-06-23,138
2026-06-24,138
2026-06-25,138
2026-06-26,138
2026-06-27,138
2026-06-28,138
2026-06-29,138
2026-06-30,144
2026-07-01,144
2026-07-02,144
2026-07-03,144
2026-07-04,144
2026-07-05,144
2026-07-06,144
2026-07-07,144
2026-07-08,144
2026-07-09,144
2026-07-10,143
2026-07-11,143
2026-07-12,143
2026-07-13,143
2026-07-14,143
2026-07-15,143
2026-07-16,143
2026-07-17,143
2026-07-18,143
2026-07-19,143
2026-07-20,143
2026-07-21,143
2026-07-22,143
2026-07-23,143
2026-07-24,144
2026-07-25,144
2026-07-26,144
2026-07-27,144
2026-07-28,144
2026-07-29,144
2026-07-30,144
2026-07-31,144
2026-08-01,144
2026-08-02,144
2026-08-03,144
2026-08-04,144
2026-08-05,147
2026-08-06,147
2026-08-07,147
2026-08-08,147
2026-08-09,147
2026-08-10,147
2026-08-11,147
2026-08-12,147
2026-08-13,147
2026-08-14,148
2026-08-15,148
2026-08-16,148
2026-08-17,150
2026-08-18,150
2026-08-19,150
2026-08-20,150
