provider_id,location_name,city,street_address,zip,phone,page_type,source_url,notes
10250,Great Strides Jacksonville Mandarin,Jacksonville,,,,SERVICE_AREA,https://www.h2health.com/locations/great-strides-pediatric-rehabilitation-florida/mandarin/,"Page loaded successfully but publishes NO street address, ZIP or location-specific phone anywhere in the served HTML - no location tile, no contact block, no body-copy address, nothing in the footer. Page loaded but published no street address, ZIP, or contact block in the retrievable content (location detail appears to render client-side). Verified twice with a targeted address-only search - NONE FOUND. Only phone present is (904) 886-3228 labeled 'MAIN DIRECTORY', which appears site-wide in the nav on every Great Strides page, so it is a general/directory number, not recorded as this location's phone."
10250,Great Strides Jacksonville Beach,Jacksonville Beach,,,,SERVICE_AREA,https://www.h2health.com/locations/great-strides-pediatric-rehabilitation-florida/jacksonville-beach/,"Page loaded successfully but publishes NO street address, ZIP or location-specific phone anywhere in the served HTML - no location tile, no contact block, no body-copy address, nothing in the footer. Page loaded, no street address or ZIP published in retrievable content. No location contact block. Shows the same site-wide (904) 886-3228 'MAIN DIRECTORY' number plus corporate/800 numbers in nav - general only, not recorded."
10250,"Great Strides Pediatric Rehabilitation - Southpoint, Jacksonville, FL",Jacksonville,,,,SERVICE_AREA,https://www.h2health.com/locations/great-strides-pediatric-rehabilitation-florida/southpoint/,"Page loaded successfully but publishes NO street address, ZIP or location-specific phone anywhere in the served HTML - no location tile, no contact block, no body-copy address, nothing in the footer. Page loaded, no street address or ZIP published in retrievable content. Page is largely navigation linking to other Great Strides locations (including Virginia locations, which are out of state and were not recorded). Only the site-wide (904) 886-3228 'MAIN DIRECTORY' number appears."
10250,Great Strides Jacksonville Bartram,Jacksonville,,,,SERVICE_AREA,https://www.h2health.com/locations/great-strides-pediatric-rehabilitation-florida/bartram/,"Page loaded successfully but publishes NO street address, ZIP or location-specific phone anywhere in the served HTML - no location tile, no contact block, no body-copy address, nothing in the footer. Page loaded, no street address, ZIP, or contact block in retrievable content. Page title references 'Bartram Park'. Only the site-wide (904) 886-3228 'MAIN DIRECTORY' number appears."
10250,Great Strides World Golf Village,St. Augustine,,,,SERVICE_AREA,https://www.h2health.com/locations/great-strides-pediatric-rehabilitation-florida/world-golf-village/,"Page loaded successfully but publishes NO street address, ZIP or location-specific phone anywhere in the served HTML - no location tile, no contact block, no body-copy address, nothing in the footer. Page loaded, no street address or ZIP published in retrievable content; no dedicated contact block. Only the site-wide (904) 886-3228 'MAIN DIRECTORY' number appears."
10250,Great Strides Middleburg,Middleburg,,,,SERVICE_AREA,https://www.h2health.com/locations/great-strides-pediatric-rehabilitation-florida/middleburg/,"Page loaded successfully but publishes NO street address, ZIP or location-specific phone anywhere in the served HTML - no location tile, no contact block, no body-copy address, nothing in the footer. Page loaded, no street address, ZIP, or contact block in retrievable content - page body is essentially navigation and branding. Header shows the site-wide (904) 886-3228 'MAIN DIRECTORY' number plus 800/regional numbers not tied to Middleburg; none recorded."
10250,"Great Strides Pediatric Rehabilitation - Callahan, FL",Callahan,,,,SERVICE_AREA,https://www.h2health.com/locations/great-strides-pediatric-rehabilitation-florida/callahan-fl/,"Page loaded successfully but publishes NO street address, ZIP or location-specific phone anywhere in the served HTML - no location tile, no contact block, no body-copy address, nothing in the footer. Page loaded, no street address or ZIP published. Meta description states the clinic 'offers outpatient physical, occupational, and speech therapy next to H2 Health' - i.e. co-located with/adjacent to an H2 Health clinic, but no address is given. Only the site-wide (904) 886-3228 'MAIN DIRECTORY' number appears, in the nav."
10250,Great Strides Port Orange,Port Orange,,,,SERVICE_AREA,https://www.h2health.com/locations/great-strides-pediatric-rehabilitation-florida/great-strides-port-orange/,"Page loaded successfully but publishes NO street address, ZIP or location-specific phone anywhere in the served HTML - no location tile, no contact block, no body-copy address, nothing in the footer. Page loaded, no street address or ZIP published and no location contact block. Header carries only general/corporate numbers - (800) 699-9395, (904) 886-3228, (540) 527-5068 - none designated for Port Orange, so no phone recorded."
10250,"Great Strides Pediatric Rehabilitation (page title: 'Pediatric Therapy In St. Augustine, FL | Great Strides')",St. Augustine,,,,SERVICE_AREA,https://www.h2health.com/locations/great-strides-pediatric-rehabilitation-florida/st-augustine/,"Page loaded successfully but publishes NO street address, ZIP or location-specific phone anywhere in the served HTML - no location tile, no contact block, no body-copy address, nothing in the footer. Page loaded, no street address, suite, or ZIP published. Page is service copy plus navigation; nav lists other FL and Virginia (out-of-state) locations but publishes no addresses for any of them. Only the site-wide (904) 886-3228 'MAIN DIRECTORY' number appears."
10250,Great Strides Yulee,Yulee,,,,SERVICE_AREA,https://www.h2health.com/locations/great-strides-pediatric-rehabilitation-florida/yulee-fl/,"Page loaded successfully but publishes NO street address, ZIP or location-specific phone anywhere in the served HTML - no location tile, no contact block, no body-copy address, nothing in the footer. Page loaded, no street address or ZIP published; no address block in body copy, location tile, or footer. Only the site-wide (904) 886-3228 'MAIN DIRECTORY' number appears."
