id,name,city,canonical_city,services_txt,source,verified,website
7181,Palm Beach Behavioral Health & Wellness,Palm Beach Gardens,PALM BEACH GARDENS,aba|ados-testing|virtual-therapy,Google Places (PT/OT/ST),false,https://www.pbbhw.com/
7483,"BFITT Athletic Training & Fitness Institute, Inc.",Tallahassee,TALLAHASSEE,aba,Google Places (PT/OT/ST),false,http://www.bfitt-atfi.com/
7203,A Safe Space Mental Health Counseling and Wellness LLC,Daytona Beach,DAYTONA BEACH,aba,legacy_migration,false,https://asafespacementalhealthcounselingandwellness.com/a-safe-space
9067,Children's Services Council of Broward County,Fort Lauderdale,FORT LAUDERDALE,aba,legacy_migration,false,https://www.cscbroward.org/
6573,Serenity Space Therapy,Fort Lauderdale,FORT LAUDERDALE,aba,legacy_migration,true,https://www.serenityspacetherapy.net/
6778,Department of Occupational Therapy,Gainesville,GAINESVILLE,aba,legacy_migration,true,http://ot.phhp.ufl.edu/
6616,"Every Girl Living- Counseling, Coaching, Wellness Consulting, Yoga",Jacksonville,JACKSONVILLE,aba,legacy_migration,true,http://www.everygirl-living.com/
6788,Grow the Vine Speech & Wellness,Lakeland,LAKELAND,aba,legacy_migration,true,http://www.gtvspeechgym.com/
6751,Learning to Achieve Wellness - TMS Therapy & Spravato,Lakeland,LAKELAND,aba,legacy_migration,true,https://learningtoachievewellness.com/
7361,NeuroSpa,Lakeland,LAKELAND,aba,legacy_migration,false,https://www.neurospamentalhealth.com/locations/lakeland/?utm_source=GMB%20-%20Lakeland&utm_medium=Organic
6805,"Tri-County Human Services, Inc.",Lakeland,LAKELAND,aba,legacy_migration,true,https://tchsonline.org/
8955,"USF Health Department of Pediatrics, Early Steps Program",Lakeland,LAKELAND,aba,legacy_migration,false,https://health.usf.edu/care?utm_source=google&utm_medium=organic&utm_campaign=maps
8881,Health First Behavioral Wellness,Melbourne,MELBOURNE,aba,legacy_migration,false,https://hf.org/healthcare-home/behavioral-health/mental-health-services
7006,Space Coast Discovery,Melbourne,MELBOURNE,aba,legacy_migration,false,http://spacecoastdiscovery.org/
7351,Envision Wellness,Miami,MIAMI,aba,legacy_migration,false,https://envisionwellness.co/
6758,Main Street Children's Dentistry and Orthodontics of Miami Beach,Miami Beach,MIAMI BEACH,aba,legacy_migration,true,https://www.mainstreetsmiles.com/dentist-office/miami-beach-fl-33140?utm_source=Google&utm_medium=KnowledgePanel&utm_campaign=Website
7017,Vitality Health & Wellness,Miami Beach,MIAMI BEACH,aba,legacy_migration,false,http://www.vitalitywellness.com/
7261,Salix Behavioral and Wellness Services,Palm Bay,PALM BAY,aba,legacy_migration,false,https://www.salixbw.com/
7115,Space Coast Mobility,Palm Bay,PALM BAY,aba,legacy_migration,false,https://spacecoastmobility.com/
8821,Lakeside Counseling and Wellness Center,Port Orange,PORT ORANGE,aba|ados-testing|virtual-therapy,legacy_migration,false,https://lakesidetherapists.com/
9140,Papillon Health and Wellness Psychotherapy,Port St. Lucie,PORT ST. LUCIE,aba,legacy_migration,false,https://papillonhealthandwellness.com/
7102,Achieve Wellness Group,Spring Hill,SPRING HILL,aba,legacy_migration,false,http://achievewellnessgroup.net/
8829,"Inspire Wellness Counseling, LLC - Linda Spenceley, LMHC",Spring Hill,SPRING HILL,aba,legacy_migration,false,https://lindalmhc.com/
6688,Believe Hope Inspire Wellness Services LLC,Tallahassee,TALLAHASSEE,aba,legacy_migration,true,https://believehopeinspire.com/
5845,Lifespan Psychiatric Services,Tallahassee,TALLAHASSEE,aba,legacy_migration,true,https://www.lifespan.care/
8841,North Florida Spine and Wellness,Tallahassee,TALLAHASSEE,aba,legacy_migration,false,http://www.healthytallahassee.com/
7390,Pathway Wellness,Tallahassee,TALLAHASSEE,aba,legacy_migration,false,https://www.pathwaywellness.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp
6652,Restoration and Wellness Counseling Center,Tallahassee,TALLAHASSEE,aba,legacy_migration,true,https://www.restorationandwellness.org/
