Date,Affected pages
2026-05-28,162
2026-05-29,155
2026-05-30,155
2026-05-31,155
2026-06-01,149
2026-06-02,149
2026-06-03,149
2026-06-04,149
2026-06-05,149
2026-06-06,149
2026-06-07,149
2026-06-08,149
2026-06-09,149
2026-06-10,149
2026-06-11,149
2026-06-12,151
2026-06-13,151
2026-06-14,151
2026-06-15,151
2026-06-16,151
2026-06-17,151
2026-06-18,151
2026-06-19,151
2026-06-20,151
2026-06-21,151
2026-06-22,151
2026-06-23,151
2026-06-24,151
2026-06-25,151
2026-06-26,151
2026-06-27,151
2026-06-28,151
2026-06-29,151
2026-06-30,151
2026-07-01,151
2026-07-02,151
2026-07-03,151
2026-07-04,151
2026-07-05,151
2026-07-06,151
2026-07-07,151
2026-07-08,151
2026-07-09,151
2026-07-10,185
2026-07-11,185
2026-07-12,185
2026-07-13,185
2026-07-14,185
2026-07-15,185
2026-07-16,185
2026-07-17,185
2026-07-18,185
2026-07-19,185
2026-07-20,185
2026-07-21,185
2026-07-22,185
2026-07-23,185
2026-07-24,242
2026-07-25,242
2026-07-26,242
2026-07-27,242
2026-07-28,242
2026-07-29,242
2026-07-30,242
2026-07-31,242
2026-08-01,242
2026-08-02,242
2026-08-03,242
2026-08-04,242
2026-08-05,231
2026-08-06,231
2026-08-07,229
2026-08-08,229
2026-08-09,229
2026-08-10,234
2026-08-11,234
2026-08-12,234
2026-08-13,234
2026-08-14,234
2026-08-15,234
2026-08-16,234
2026-08-17,470
2026-08-18,470
2026-08-19,470
2026-08-20,470
