service,canonical_city,providers,single_city,multi_city,no_website,band
aac,ST. PETERSBURG,3,2,1,0,3-4
aba,AVENTURA,5,4,0,1,5-9
aba,BOCA RATON,8,4,4,0,5-9
aba,BROOKSVILLE,5,3,2,0,5-9
aba,CAPE CORAL,28,20,2,6,25+
aba,CLEARWATER,18,12,3,3,10-24
aba,COCONUT CREEK,5,5,0,0,5-9
aba,CORAL GABLES,11,9,2,0,10-24
aba,CORAL SPRINGS,8,4,3,1,5-9
aba,DAVIE,15,13,1,1,10-24
aba,DAYTONA BEACH,10,6,2,2,10-24
aba,FORT LAUDERDALE,13,7,4,2,10-24
aba,FORT MYERS,38,24,7,7,25+
aba,GAINESVILLE,36,24,6,6,25+
aba,HALLANDALE BEACH,3,2,0,1,3-4
aba,HIALEAH,21,14,2,5,10-24
aba,HOLLYWOOD,27,19,8,0,25+
aba,JACKSONVILLE,49,33,12,4,25+
aba,LAKE WORTH BEACH,5,5,0,0,5-9
aba,LAKELAND,53,40,4,9,25+
aba,LARGO,7,6,0,1,5-9
aba,LAUDERHILL,4,4,0,0,3-4
aba,MAITLAND,3,3,0,0,3-4
aba,MELBOURNE,10,7,3,0,10-24
aba,MIAMI,46,31,7,8,25+
aba,MIAMI BEACH,3,3,0,0,3-4
aba,MIAMI GARDENS,3,2,1,0,3-4
aba,MIAMI LAKES,19,11,4,4,10-24
aba,MIAMI SPRINGS,5,4,1,0,5-9
aba,MIRAMAR,10,6,4,0,10-24
aba,NORTH MIAMI,4,2,1,1,3-4
aba,NORTH MIAMI BEACH,10,10,0,0,10-24
aba,ORLANDO,61,43,13,5,25+
aba,ORMOND BEACH,10,8,2,0,10-24
aba,PALM BAY,15,13,1,1,10-24
aba,PALM SPRINGS,6,3,3,0,5-9
aba,PEMBROKE PINES,18,11,5,2,10-24
aba,PLANTATION,3,2,0,1,3-4
aba,PORT ORANGE,6,5,1,0,5-9
aba,PORT ST. LUCIE,30,22,3,5,25+
aba,SOUTH MIAMI,3,2,1,0,3-4
aba,SPRING HILL,21,12,2,7,10-24
aba,STUART,6,3,3,0,5-9
aba,TALLAHASSEE,69,55,4,10,25+
aba,TAMARAC,5,4,1,0,5-9
aba,TAMPA,59,42,12,5,25+
aba,WEST PALM BEACH,28,26,2,0,25+
aba,WESTON,8,4,2,2,5-9
aba,WINTER PARK,14,8,3,3,10-24
ados-testing,CORAL SPRINGS,4,2,2,0,3-4
ados-testing,DAVIE,4,2,2,0,3-4
ados-testing,FORT MYERS,5,4,1,0,5-9
ados-testing,GAINESVILLE,3,2,1,0,3-4
ados-testing,JACKSONVILLE,3,2,1,0,3-4
ados-testing,MIAMI,4,4,0,0,3-4
ados-testing,MIAMI LAKES,4,3,1,0,3-4
ados-testing,ORLANDO,10,3,7,0,10-24
ados-testing,TALLAHASSEE,4,4,0,0,3-4
ados-testing,TAMPA,11,8,3,0,10-24
adult-day-training,ST. PETERSBURG,6,0,0,6,5-9
adult-day-training,TAMPA,17,0,0,17,10-24
adult-day-training,WEST PALM BEACH,5,0,0,5,5-9
animal-therapy,HUDSON,3,2,0,1,3-4
animal-therapy,JACKSONVILLE,6,0,2,4,5-9
animal-therapy,WEST PALM BEACH,3,2,1,0,3-4
executive-function-coaching,CLEARWATER,6,6,0,0,5-9
executive-function-coaching,TALLAHASSEE,3,3,0,0,3-4
executive-function-coaching,TAMPA,5,5,0,0,5-9
feeding-therapy,CAPE CORAL,4,2,2,0,3-4
feeding-therapy,CLEARWATER,5,2,3,0,5-9
feeding-therapy,HOLLYWOOD,11,7,4,0,10-24
feeding-therapy,JACKSONVILLE,9,2,7,0,5-9
feeding-therapy,MIAMI,10,5,5,0,10-24
feeding-therapy,MIAMI LAKES,6,4,2,0,5-9
feeding-therapy,ORLANDO,9,5,4,0,5-9
feeding-therapy,PEMBROKE PINES,4,2,2,0,3-4
feeding-therapy,TAMPA,21,8,13,0,10-24
group-therapy,CLEARWATER,9,6,3,0,5-9
group-therapy,CORAL SPRINGS,5,1,4,0,5-9
group-therapy,DAVIE,4,3,1,0,3-4
group-therapy,FORT LAUDERDALE,5,1,4,0,5-9
group-therapy,GAINESVILLE,6,5,1,0,5-9
group-therapy,HOLLYWOOD,9,4,5,0,5-9
group-therapy,JACKSONVILLE,9,2,7,0,5-9
group-therapy,JACKSONVILLE BEACH,3,2,1,0,3-4
group-therapy,LAKELAND,6,3,3,0,5-9
group-therapy,MELBOURNE,6,3,3,0,5-9
group-therapy,MIAMI,8,4,4,0,5-9
group-therapy,MIRAMAR,3,2,1,0,3-4
group-therapy,ORLANDO,10,3,7,0,10-24
group-therapy,PEMBROKE PINES,4,2,2,0,3-4
group-therapy,PORT ST. LUCIE,3,2,1,0,3-4
group-therapy,TALLAHASSEE,5,4,1,0,5-9
group-therapy,TAMPA,24,8,16,0,10-24
group-therapy,WEST PALM BEACH,5,4,1,0,5-9
life-skills,BOCA RATON,3,2,1,0,3-4
life-skills,CAPE CORAL,4,3,1,0,3-4
life-skills,CORAL GABLES,3,2,1,0,3-4
