id,name,city,county,address,phone,website,source,verified
6649,Autism Mind,Davie,Broward,5400 S University Dr #605,(954) 394-7011,http://www.autismmind.com/,legacy_migration,true
7424,Avant-Garde Therapy,Davie,Broward,4801 S University Dr Suite #225,(954) 357-3333,http://a-gtherapy.com/,legacy_migration,false
6806,Baudhuin Preschool,Davie,Broward,7600 SW 36th St,(954) 262-7100,http://www.nova.edu/,legacy_migration,true
5819,Behavior Analysis Inc,Davie,Broward,8001 SW 36th St #9,(954) 577-7790,https://www.behavior-analysis.org/,legacy_migration,true
6701,Developmental Therapies And Beyond | ABA Therapy | Speech and language therapy | Occupational therapy,Davie,Broward,5400 S University Dr,(954) 513-9545,https://www.developmentaltherapies.com/,legacy_migration,true
6557,Florida Autism Treatment Center,Davie,Broward,3501 S University Dr,(954) 533-4845,https://www.behavior-analysis.org/,legacy_migration,true
6855,Healing Words Therapy,Davie,Broward,12515 Orange Dr,(954) 866-4941,https://www.healingwordstherapy.com/,legacy_migration,true
6210,Integral Behavior Solutions Corp.,Davie,Broward,5400 S University Dr Suite #310,(305) 305-3573,null,legacy_migration,true
6550,Joshua's Path Disability Services of Goodman JFS,Davie,Broward,5890 S Pine Island Rd,(954) 909-0829,https://www.jfsbroward.org/services/joshuas-path-boost-disability-services/,legacy_migration,true
6916,Mindful Lotus Therapy Inc.,Davie,Broward,6824 Griffin Rd,(754) 248-9589,https://www.mindfullotustherapyfl.com/,legacy_migration,true
6912,TMZ BEHAVIORAL CARE: Dr. Charline Boufin,Davie,Broward,12535 Orange Dr,(754) 333-1609,https://www.tmzbehavioralcare.com/,legacy_migration,true
6728,A Bright Start Therapy,Hialeah,Miami-Dade,900 W 49th St,(786) 789-5305,http://abrightstarttherapy.com/,legacy_migration,true
7621,Fun Kids Therapy Inc,Hialeah,Miami-Dade,8051 W 24th Ave #11,(786) 238-7120,null,legacy_migration,false
6669,"Kidscare Therapy Center, Inc.",Hialeah,Miami-Dade,1140 W 50th St,(305) 231-3371,http://kidscaretherapycenterinc.net/,legacy_migration,true
6919,Magic Behavioral Care Corp,Hialeah,Miami-Dade,1275 W 47th Pl #449,(305) 425-1338,https://magicbehavioralcare.com/,legacy_migration,true
6612,My Therapy Spot,Hialeah,Miami-Dade,17670 NW 78th Ave #206,(305) 440-0785,http://www.mytherapyspotco.com/,legacy_migration,true
6710,New beginning behavior therapy center,Hialeah,Miami-Dade,7580 NW 186th St,(786) 385-5347,http://newbehaviourtherapy.com/,legacy_migration,true
9079,"Renascence Therapy Center, Inc",Hialeah,Miami-Dade,15291 NW 60th Ave,(786) 328-9217,null,legacy_migration,false
7323,Spring Health,Hialeah,Miami-Dade,2300 W 84th St,(561) 350-8592,http://www.abaspringhealth.com/,legacy_migration,false
7002,Victory Brt,Hialeah,Miami-Dade,1301 W 68th St,(786) 615-4083,https://www.victorybrt.com/,legacy_migration,false
6650,3D THERAPY SERVICES,Palm Bay,Brevard,1350 Malabar Rd,(321) 345-4224,http://www.3dtherapyfl.com/,legacy_migration,true
6777,Advanced Behavioral Care,Palm Bay,Brevard,4031 Dixie Hwy NE,(321) 622-3222,http://www.advancedbehavioralcare.org/,legacy_migration,true
7169,"All in Mental Health, LLC",Palm Bay,Brevard,5240 Babcock St NE,(321) 914-0113,http://allinmentalhealth.com/,legacy_migration,false
8846,Blue Cat Neuropsychology & Intervention PLLC,Palm Bay,Brevard,5200 Babcock St NE,(321) 209-3344,https://www.bluecatneuro.net/,legacy_migration,false
8406,Blue Iris Behavioral Services,Palm Bay,Brevard,4640 Lipscomb St,(321) 327-4037,http://www.blueirisbehavioral.com/,legacy_migration,false
6553,JMS Therapy Services,Palm Bay,Brevard,1320 Culver Dr NE,(321) 536-0107,https://www.jmstherapyservices.com/,legacy_migration,true
9011,"Mylan Kaltman, PsyD",Palm Bay,Brevard,2123 Franklin Dr NE,(321) 724-1614,http://www.atlanticpsych.com/,legacy_migration,false
8978,South Brevard Behavioral Med,Palm Bay,Brevard,1501 Robert J Conlan Blvd NE #100,(321) 676-3474,null,legacy_migration,false
6038,"The Center for Codependency Recovery- Suzi Marsh Meffen Clinical Social Work/Therapist, BBA, MSW, LCSW",Palm Bay,Brevard,4680 Lipscomb St,(678) 570-8169,http://suzimeffen.com/,legacy_migration,true
8900,Winning Hearts IM A+ Personal Transformation Services,Palm Bay,Brevard,4640 Lipscomb St,(321) 327-4091,https://winninghearts2.org/,legacy_migration,false
10355,Achievers Academy,Pembroke Pines,Broward,10777 Pembroke Rd,(954) 447-9962,null,legacy_migration,false
6738,"BG Clinical Intervention, LLC",Pembroke Pines,Broward,1601 N Palm Ave #110B,(954) 300-6138,https://www.bgclinicalintervention.com/,legacy_migration,true
7067,Blue Minds LLC,Pembroke Pines,Broward,15800 Pines Blvd,(786) 356-8161,http://www.bluemindsllc.com/,legacy_migration,false
6635,Caring Therapists of Pembroke Pines,Pembroke Pines,Broward,2000 NW 150th Ave & 2110,(954) 378-5381,https://caringtherapistsofbroward.com/?utm_source=google&utm_medium=organic&utm_campaign=GBP,legacy_migration,true
6630,Compass Health Systems,Pembroke Pines,Broward,1601 N Palm Ave #211,(305) 891-0050,http://www.compasshealthsystems.com/,legacy_migration,true
8939,Creative Friends Therapy LLC,Pembroke Pines,Broward,1781 NW 123rd Ave,(786) 340-8632,https://instagram.com/creative_friends_therapy,legacy_migration,false
6525,Devereux Therapeutic Foster Care Dade,Pembroke Pines,Broward,1152 N University Dr,(954) 962-1225,http://www.devereux.org/site/PageServer?pagename=fl_fostercare_programs,legacy_migration,true
6011,Insight Behavioral Center,Pembroke Pines,Broward,"17900NW, NW 5th St #103",(954) 388-0800,null,legacy_migration,true
6033,"SPECIAL EDUCATION ADVOCACY SERVICES, LLC",Pembroke Pines,Broward,18459 Pines Blvd,(888) 373-0014,http://www.yselaheim.com/,legacy_migration,true
8794,"SPOT FOR KIDS, INC",Pembroke Pines,Broward,18450 Pines Blvd,(954) 800-0741,http://www.spotforkidsinc.com/,legacy_migration,false
