service,canonical_city,providers,single_city,multi_city,no_website,band
aac,ST. PETERSBURG,3,2,1,0,3-4
aba,AVENTURA,6,4,1,1,5-9
aba,BOCA RATON,11,5,5,1,10-24
aba,BROOKSVILLE,5,3,2,0,5-9
aba,CAPE CORAL,33,23,2,8,25+
aba,CLEARWATER,24,17,4,3,10-24
aba,COCONUT CREEK,7,7,0,0,5-9
aba,CORAL GABLES,12,10,2,0,10-24
aba,CORAL SPRINGS,10,5,4,1,10-24
aba,DAVIE,17,14,2,1,10-24
aba,DAYTONA BEACH,15,9,3,3,10-24
aba,FORT LAUDERDALE,17,9,6,2,10-24
aba,FORT MYERS,47,30,9,8,25+
aba,GAINESVILLE,43,27,8,8,25+
aba,HALLANDALE BEACH,5,4,0,1,5-9
aba,HIALEAH,21,14,2,5,10-24
aba,HOLLYWOOD,31,22,9,0,25+
aba,JACKSONVILLE,54,34,15,5,25+
aba,LAKE WORTH BEACH,5,5,0,0,5-9
aba,LAKELAND,62,46,5,11,25+
aba,LARGO,8,7,0,1,5-9
aba,LAUDERHILL,4,4,0,0,3-4
aba,MAITLAND,5,3,2,0,5-9
aba,MELBOURNE,10,7,3,0,10-24
aba,MIAMI,50,33,9,8,25+
aba,MIAMI BEACH,3,3,0,0,3-4
aba,MIAMI GARDENS,3,2,1,0,3-4
aba,MIAMI LAKES,22,13,5,4,10-24
aba,MIAMI SPRINGS,5,4,1,0,5-9
aba,MIRAMAR,10,6,4,0,10-24
aba,NORTH MIAMI,4,2,1,1,3-4
aba,NORTH MIAMI BEACH,11,11,0,0,10-24
aba,ORLANDO,71,46,19,6,25+
aba,ORMOND BEACH,11,9,2,0,10-24
aba,PALM BAY,16,13,1,2,10-24
aba,PALM SPRINGS,7,3,4,0,5-9
aba,PEMBROKE PINES,18,11,5,2,10-24
aba,PLANTATION,3,2,0,1,3-4
aba,PORT ORANGE,6,5,1,0,5-9
aba,PORT ST. LUCIE,33,22,3,8,25+
aba,SOUTH MIAMI,4,3,1,0,3-4
aba,SPRING HILL,21,12,2,7,10-24
aba,STUART,7,3,3,1,5-9
aba,TALLAHASSEE,79,59,6,14,25+
aba,TAMARAC,6,5,1,0,5-9
aba,TAMPA,64,44,15,5,25+
aba,WEST PALM BEACH,31,29,2,0,25+
aba,WESTON,8,4,2,2,5-9
aba,WINTER PARK,16,10,3,3,10-24
ados-testing,CORAL SPRINGS,5,2,3,0,5-9
ados-testing,FORT LAUDERDALE,5,1,4,0,5-9
ados-testing,FORT MYERS,5,3,2,0,5-9
ados-testing,GAINESVILLE,4,2,2,0,3-4
ados-testing,JACKSONVILLE,6,2,4,0,5-9
ados-testing,MIAMI,4,2,2,0,3-4
ados-testing,MIAMI LAKES,4,2,2,0,3-4
ados-testing,ORLANDO,13,1,12,0,10-24
ados-testing,TALLAHASSEE,5,4,1,0,5-9
ados-testing,TAMPA,11,6,5,0,10-24
animal-therapy,HUDSON,3,2,0,1,3-4
animal-therapy,JACKSONVILLE,6,0,2,4,5-9
animal-therapy,WEST PALM BEACH,3,2,1,0,3-4
executive-function-coaching,CLEARWATER,6,6,0,0,5-9
executive-function-coaching,TALLAHASSEE,3,3,0,0,3-4
executive-function-coaching,TAMPA,5,5,0,0,5-9
feeding-therapy,CAPE CORAL,4,2,2,0,3-4
feeding-therapy,CLEARWATER,5,2,3,0,5-9
feeding-therapy,HOLLYWOOD,11,7,4,0,10-24
feeding-therapy,JACKSONVILLE,9,2,7,0,5-9
feeding-therapy,MIAMI,10,5,5,0,10-24
feeding-therapy,MIAMI LAKES,6,4,2,0,5-9
feeding-therapy,ORLANDO,9,5,4,0,5-9
feeding-therapy,PEMBROKE PINES,4,2,2,0,3-4
feeding-therapy,TAMPA,21,8,13,0,10-24
group-therapy,CLEARWATER,9,6,3,0,5-9
group-therapy,CORAL SPRINGS,5,1,4,0,5-9
group-therapy,DAVIE,4,3,1,0,3-4
group-therapy,FORT LAUDERDALE,6,1,5,0,5-9
group-therapy,FORT MYERS,5,1,4,0,5-9
group-therapy,GAINESVILLE,6,5,1,0,5-9
group-therapy,HOLLYWOOD,10,4,6,0,10-24
group-therapy,JACKSONVILLE,10,2,8,0,10-24
group-therapy,JACKSONVILLE BEACH,3,2,1,0,3-4
group-therapy,LAKELAND,7,3,4,0,5-9
group-therapy,MAITLAND,3,2,1,0,3-4
group-therapy,MELBOURNE,6,3,3,0,5-9
group-therapy,MIAMI,9,4,5,0,5-9
group-therapy,MIRAMAR,3,2,1,0,3-4
group-therapy,ORLANDO,14,3,11,0,10-24
group-therapy,PEMBROKE PINES,4,2,2,0,3-4
group-therapy,PORT ST. LUCIE,3,2,1,0,3-4
group-therapy,TALLAHASSEE,5,4,1,0,5-9
group-therapy,TAMPA,25,8,17,0,25+
group-therapy,WEST PALM BEACH,5,4,1,0,5-9
life-skills,BOCA RATON,6,2,1,3,5-9
life-skills,BRANDON,4,2,0,2,3-4
life-skills,CAPE CORAL,9,4,2,3,5-9
life-skills,CLEARWATER,6,1,0,5,5-9
life-skills,COCONUT CREEK,3,2,0,1,3-4
life-skills,CORAL GABLES,3,2,1,0,3-4
life-skills,DAVIE,7,4,2,1,5-9
life-skills,DAYTONA BEACH,5,2,2,1,5-9
life-skills,FORT LAUDERDALE,12,4,1,7,10-24
life-skills,FORT MYERS,16,7,2,7,10-24
life-skills,FORT PIERCE,4,3,0,1,3-4
life-skills,GAINESVILLE,5,3,0,2,5-9
life-skills,HIALEAH,8,6,0,2,5-9
life-skills,HOLLYWOOD,7,4,0,3,5-9
life-skills,JACKSONVILLE,20,5,4,11,10-24
life-skills,LAKELAND,4,3,1,0,3-4
life-skills,LARGO,9,3,0,6,5-9
life-skills,LAUDERHILL,6,1,1,4,5-9
life-skills,MAITLAND,3,2,0,1,3-4
life-skills,MELBOURNE,6,4,2,0,5-9
life-skills,MIAMI,36,14,4,18,25+
life-skills,MIAMI LAKES,4,3,1,0,3-4
life-skills,MIRAMAR,9,4,1,4,5-9
life-skills,NAPLES,5,0,3,2,5-9
life-skills,ORLANDO,17,11,3,3,10-24
life-skills,PALM BAY,5,3,2,0,5-9
life-skills,PEMBROKE PINES,9,4,1,4,5-9
life-skills,PENSACOLA,5,2,0,3,5-9
life-skills,PORT ST. LUCIE,5,3,0,2,5-9
life-skills,ST. PETERSBURG,12,2,0,10,10-24
life-skills,TALLAHASSEE,9,5,1,3,5-9
life-skills,TAMPA,44,14,6,24,25+
life-skills,WEST PALM BEACH,18,11,0,7,10-24
mobile-services,BOCA RATON,7,4,3,0,5-9
mobile-services,FORT LAUDERDALE,3,2,1,0,3-4
mobile-services,FORT MYERS,6,3,3,0,5-9
mobile-services,HOLLYWOOD,8,2,6,0,5-9
mobile-services,JACKSONVILLE,5,3,2,0,5-9
mobile-services,MELBOURNE,3,2,1,0,3-4
mobile-services,ORLANDO,6,3,2,1,5-9
