Date,Affected pages
2026-05-28,216
2026-05-29,215
2026-05-30,215
2026-05-31,215
2026-06-01,208
2026-06-02,208
2026-06-03,208
2026-06-04,208
2026-06-05,204
2026-06-06,204
2026-06-07,204
2026-06-08,204
2026-06-09,204
2026-06-10,204
2026-06-11,204
2026-06-12,210
2026-06-13,210
2026-06-14,210
2026-06-15,210
2026-06-16,210
2026-06-17,210
2026-06-18,210
2026-06-19,210
2026-06-20,210
2026-06-21,210
2026-06-22,210
2026-06-23,210
2026-06-24,210
2026-06-25,210
2026-06-26,210
2026-06-27,210
2026-06-28,210
2026-06-29,210
2026-06-30,211
2026-07-01,211
2026-07-02,211
2026-07-03,211
2026-07-04,211
2026-07-05,211
2026-07-06,211
2026-07-07,211
2026-07-08,211
2026-07-09,211
2026-07-10,215
2026-07-11,215
2026-07-12,215
2026-07-13,215
2026-07-14,215
2026-07-15,215
2026-07-16,215
2026-07-17,215
2026-07-18,215
2026-07-19,215
2026-07-20,215
2026-07-21,215
2026-07-22,215
2026-07-23,215
2026-07-24,215
2026-07-25,215
2026-07-26,215
2026-07-27,215
2026-07-28,215
2026-07-29,215
2026-07-30,215
2026-07-31,215
2026-08-01,215
2026-08-02,215
2026-08-03,215
2026-08-04,215
2026-08-05,235
2026-08-06,235
2026-08-07,247
2026-08-08,247
2026-08-09,247
2026-08-10,259
2026-08-11,259
2026-08-12,259
2026-08-13,259
2026-08-14,257
2026-08-15,257
2026-08-16,257
2026-08-17,250
2026-08-18,250
2026-08-19,250
2026-08-20,250
